whole_pipe_index,Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Pressure (Pa),X (m),Y (m),Z (m),u,v,w,p,x,y,z,average_velocity
0,0.0001210692207678,0.0001874819572549,0,-6.50909879103026e-05,0.175153880357735,0.285187897054404,0,0.0001210692207678,0.0001874819572549,0,-6.50909879103026e-05,0.175153880357735,0.285187897054404,0,0.01
1,0.0002440916578052,0.0003607854887377,0,-6.50142370453996e-05,0.176423061148614,0.28444254645555,0,0.0002440916578052,0.0003607854887377,0,-6.50142370453996e-05,0.176423061148614,0.28444254645555,0,0.01
2,2.88114715658594e-05,4.60046430816874e-05,0,-6.52101359922047e-05,0.173864770650313,0.285954836706558,0,2.88114715658594e-05,4.60046430816874e-05,0,-6.52101359922047e-05,0.173864770650313,0.285954836706558,0,0.01
3,0.0001298501301789,0.0002011188043979,0,-6.57641583020523e-05,0.174133931205367,0.283473516771156,0,0.0001298501301789,0.0002011188043979,0,-6.57641583020523e-05,0.174133931205367,0.283473516771156,0,0.01
4,0.0002568308555055,0.0003783490683417,0,-6.56653923099881e-05,0.175359204732131,0.282747990326931,0,0.0002568308555055,0.0003783490683417,0,-6.56653923099881e-05,0.175359204732131,0.282747990326931,0,0.01
5,0.0003904304758179,0.0005623014876618,0,-6.44399327483022e-05,0.178431882986543,0.284592130004738,0,0.0003904304758179,0.0005623014876618,0,-6.44399327483022e-05,0.178431882986543,0.284592130004738,0,0.01
6,0.0004142689867876,0.0005929863546043,0,-6.51043533900804e-05,0.177319976498619,0.282782719030309,0,0.0004142689867876,0.0005929863546043,0,-6.51043533900804e-05,0.177319976498619,0.282782719030309,0,0.01
7,0.0005725985975004,0.000790633377619,0,-6.38244872394468e-05,0.18084184268812,0.285157234644915,0,0.0005725985975004,0.000790633377619,0,-6.38244872394468e-05,0.18084184268812,0.285157234644915,0,0.01
8,3.10804643959273e-05,4.97301443829201e-05,0,-6.58982522407986e-05,0.17284482157669,0.28424045644767,0,3.10804643959273e-05,4.97301443829201e-05,0,-6.58982522407986e-05,0.17284482157669,0.28424045644767,0,0.01
9,0.0001402863126713,0.000215705615119,0,-6.64603116355473e-05,0.173113982138394,0.281759136523445,0,0.0001402863126713,0.000215705615119,0,-6.64603116355473e-05,0.173113982138394,0.281759136523445,0,0.01
10,0.0002725902886595,0.0003972174599766,0,-6.63914213607591e-05,0.174261931417527,0.280996257201723,0,0.0002725902886595,0.0003972174599766,0,-6.63914213607591e-05,0.174261931417527,0.280996257201723,0,0.01
11,0.0002874090569093,0.0004202171694487,0,-6.70922364750423e-05,0.173226476430948,0.279346001337053,0,0.0002874090569093,0.0004202171694487,0,-6.70922364750423e-05,0.173226476430948,0.279346001337053,0,0.01
12,0.0004139693337492,0.0005908160819672,0,-6.58846920346549e-05,0.175930342265827,0.280995258270595,0,0.0004139693337492,0.0005908160819672,0,-6.58846920346549e-05,0.175930342265827,0.280995258270595,0,0.01
13,0.0006170190754346,0.0008462453261017,0,-6.54099417544362e-05,0.177941720068095,0.280992713242929,0,0.0006170190754346,0.0008462453261017,0,-6.54099417544362e-05,0.177941720068095,0.280992713242929,0,0.01
14,0.0007042225333862,0.0009532078402116,0,-6.44973288677207e-05,0.180052640475425,0.282582282353448,0,0.0007042225333862,0.0009532078402116,0,-6.44973288677207e-05,0.180052640475425,0.282582282353448,0,0.01
15,0.0023039621300995,0.0028365675825625,0,-6.03431138709968e-05,0.19526701340399,0.28601247998058,0,0.0023039621300995,0.0028365675825625,0,-6.03431138709968e-05,0.19526701340399,0.28601247998058,0,0.01
16,0.0020358415786176,0.0025132878217846,0,-6.12058300602705e-05,0.1923381575781,0.28483349566857,0,0.0020358415786176,0.0025132878217846,0,-6.12058300602705e-05,0.1923381575781,0.28483349566857,0,0.01
17,0.0016746345208957,0.0020963216666132,0,-6.19543428178285e-05,0.189419710856421,0.284406274956306,0,0.0016746345208957,0.0020963216666132,0,-6.19543428178285e-05,0.189419710856421,0.284406274956306,0,0.01
18,0.001305550453253,0.0016669278265908,0,-6.28182069833915e-05,0.186176810941397,0.283856191394432,0,0.001305550453253,0.0016669278265908,0,-6.28182069833915e-05,0.186176810941397,0.283856191394432,0,0.01
19,0.0009517492726445,0.0012526442296803,0,-6.36005642558976e-05,0.183071425799886,0.283561347653664,0,0.0009517492726445,0.0012526442296803,0,-6.36005642558976e-05,0.183071425799886,0.283561347653664,0,0.01
20,0.0032563619315624,0.0038375647272914,0,-6.02298451467372e-05,0.19787724283176,0.282575870799357,0,0.0032563619315624,0.0038375647272914,0,-6.02298451467372e-05,0.19787724283176,0.282575870799357,0,0.01
21,3.38878089678474e-05,5.37248524778988e-05,0,-6.66119089280156e-05,0.171824872509717,0.282526076199959,0,3.38878089678474e-05,5.37248524778988e-05,0,-6.66119089280156e-05,0.171824872509717,0.282526076199959,0,0.01
22,0.0001514137547928,0.0002330448915017,0,-6.71729255406625e-05,0.172094033084262,0.28004475618932,0,0.0001514137547928,0.0002330448915017,0,-6.71729255406625e-05,0.172094033084262,0.28004475618932,0,0.01
23,0.0004493935848586,0.0006337624508887,0,-6.66091353839753e-05,0.17486648625942,0.279179743191832,0,0.0004493935848586,0.0006337624508887,0,-6.66091353839753e-05,0.17486648625942,0.279179743191832,0,0.01
24,0.0003129455435555,0.000456132198451,0,-6.7790885651619e-05,0.172223350259822,0.277593232127484,0,0.0003129455435555,0.000456132198451,0,-6.7790885651619e-05,0.172223350259822,0.277593232127484,0,0.01
25,0.0004277777625247,0.000612272939179,0,-6.72263804355327e-05,0.173627072195518,0.27783896140558,0,0.0004277777625247,0.000612272939179,0,-6.72263804355327e-05,0.173627072195518,0.27783896140558,0,0.01
26,0.0008659783634357,0.0011464460985735,0,-6.52343493317898e-05,0.179351574497396,0.280059412835557,0,0.0008659783634357,0.0011464460985735,0,-6.52343493317898e-05,0.179351574497396,0.280059412835557,0,0.01
27,0.0007296380354091,0.0009780041873455,0,-6.61548174395384e-05,0.177155873018079,0.278819831957052,0,0.0007296380354091,0.0009780041873455,0,-6.61548174395384e-05,0.177155873018079,0.278819831957052,0,0.01
28,0.001122509362176,0.0014464053092524,0,-6.45266251700152e-05,0.181700750031116,0.280403797534345,0,0.001122509362176,0.0014464053092524,0,-6.45266251700152e-05,0.181700750031116,0.280403797534345,0,0.01
29,0.0027152048423886,0.0032392458524555,0,-6.11294365593794e-05,0.194351522703231,0.282363001103706,0,0.0027152048423886,0.0032392458524555,0,-6.11294365593794e-05,0.194351522703231,0.282363001103706,0,0.01
30,0.0023286149371415,0.0027973756659776,0,-6.21071206050858e-05,0.19108483129429,0.281535340555732,0,0.0023286149371415,0.0027973756659776,0,-6.21071206050858e-05,0.19108483129429,0.281535340555732,0,0.01
31,0.0019111047731712,0.002331449650228,0,-6.2965798851292e-05,0.187817584961586,0.280973489725338,0,0.0019111047731712,0.002331449650228,0,-6.2965798851292e-05,0.187817584961586,0.280973489725338,0,0.01
32,0.0014892459148541,0.0018613145221024,0,-6.37714105349096e-05,0.184641276674411,0.280671587129264,0,0.0014892459148541,0.0018613145221024,0,-6.37714105349096e-05,0.184641276674411,0.280671587129264,0,0.01
33,0.0036017359234392,0.0041347392834723,0,-6.098622419664e-05,0.196411747288358,0.279224576135025,0,0.0036017359234392,0.0041347392834723,0,-6.098622419664e-05,0.196411747288358,0.279224576135025,0,0.01
34,0.0044131483882665,0.0049660103395581,0,-6.00974303109347e-05,0.199956194004095,0.278154653525542,0,0.0044131483882665,0.0049660103395581,0,-6.00974303109347e-05,0.199956194004095,0.278154653525542,0,0.01
35,3.68415167031344e-05,5.85380548727699e-05,0,-6.73333219063706e-05,0.170804923439419,0.280811695946659,0,3.68415167031344e-05,5.85380548727699e-05,0,-6.73333219063706e-05,0.170804923439419,0.280811695946659,0,0.01
36,0.0001629992329981,0.0002511458587832,0,-6.78973258941217e-05,0.171074083991149,0.278330376005669,0,0.0001629992329981,0.0002511458587832,0,-6.78973258941217e-05,0.171074083991149,0.278330376005669,0,0.01
37,0.000343139457982,0.0004956976044923,0,-6.85814825143667e-05,0.171281058918934,0.275925408475263,0,0.000343139457982,0.0004956976044923,0,-6.85814825143667e-05,0.171281058918934,0.275925408475263,0,0.01
38,0.0006961865001358,0.0009375275694765,0,-6.70677674495408e-05,0.175350776570935,0.277004518797139,0,0.0006961865001358,0.0009375275694765,0,-6.70677674495408e-05,0.175350776570935,0.277004518797139,0,0.01
39,0.0005658072186633,0.0007844602223485,0,-6.7842523256574e-05,0.17331834481852,0.275840562302442,0,0.0005658072186633,0.0007844602223485,0,-6.7842523256574e-05,0.17331834481852,0.275840562302442,0,0.01
40,0.0009893545648083,0.0012825606390833,0,-6.65483478509613e-05,0.17729197648821,0.276570853610065,0,0.0009893545648083,0.0012825606390833,0,-6.65483478509613e-05,0.17729197648821,0.276570853610065,0,0.01
41,0.0012097554281354,0.0015362821286544,0,-6.564201077151e-05,0.179779463038509,0.277530093582491,0,0.0012097554281354,0.0015362821286544,0,-6.564201077151e-05,0.179779463038509,0.277530093582491,0,0.01
42,0.0016685806913301,0.0020428700372576,0,-6.47986110188747e-05,0.182982909166788,0.277590851262233,0,0.0016685806913301,0.0020428700372576,0,-6.47986110188747e-05,0.182982909166788,0.277590851262233,0,0.01
43,0.0032145821023732,0.0037058000452816,0,-6.19153509235309e-05,0.193325879655996,0.278441791471461,0,0.0032145821023732,0.0037058000452816,0,-6.19153509235309e-05,0.193325879655996,0.278441791471461,0,0.01
