"step","mean_nu"
0,-0.008127728
1000,0.00025034935
2000,-0.0016631996
3000,-0.001859585
4000,0.0011245223
5000,0.0029036738
6000,-0.00032841493
7000,0.0015191522
8000,0.0029707847
9000,0.0013635776
10000,0.0007963785
11000,0.00042975976
12000,0.0011858535
13000,0.00058547826
14000,-0.00057811243
15000,-0.00077951676
16000,-0.0011270996
17000,-0.0017196179
18000,-0.0020443548
19000,-0.008033421
20000,-0.00038591892
21000,-0.0017280515
22000,-1.6142005e-05
23000,-0.00037129928
24000,-0.00023201658
25000,-9.4343355e-05
26000,-0.00042967612
27000,-0.002216488
28000,-0.0011997832
29000,-5.2942913e-05
30000,-8.848112e-05
31000,-0.0011207581
32000,-0.0006895509
33000,0.00014508376
34000,-1.7753691e-05
35000,-0.00019209867
36000,-0.00023236389
37000,0.00015895217
38000,0.00036463677
39000,0.0002587034
40000,-0.00028211199
41000,-0.00017540113
42000,-0.000634504
43000,-0.0001873883
44000,0.0001397671
45000,0.00014836671
46000,0.0002426942
47000,1.134239e-05
48000,9.801293e-05
49000,-7.493541e-05
50000,0.00022054234
51000,0.00024687173
52000,-0.000105873245
53000,-0.00010644731
54000,-0.00026252813
55000,-0.00015404366
56000,-0.00026392864
57000,-0.00023366015
58000,-0.0007163763
59000,7.7028824e-05
60000,-0.00016713167
61000,-0.00016719937
62000,-0.00027437258
63000,6.809588e-06
64000,-0.00015868615
65000,-0.00019791033
66000,-0.00029811537
67000,-0.00014869128
68000,-0.00030748485
69000,-0.0004697115
70000,-0.00032693596
71000,-0.00033985806
72000,-0.00018654202
73000,-0.00019383396
74000,-0.0005617821
75000,-0.00030485427
76000,-0.00031038423
77000,-0.00025038872
78000,-0.00043568423
79000,-0.00022491651
80000,-0.000500456
81000,-0.00029099063
82000,-0.00022003353
83000,-0.00023325927
84000,-0.00020401509
85000,-0.0001844928
86000,-0.00019564616
87000,-0.00013266921
88000,-0.00013727881
89000,-9.768767e-05
90000,-6.391169e-05
91000,-6.19026e-05
92000,-4.7710713e-05
93000,-3.8989343e-05
94000,-1.5197062e-05
95000,-2.0733423e-05
96000,-1.5678199e-05
97000,-1.8498273e-05
98000,-2.414543e-05
99000,-1.5082614e-05
100000,-1.8612884e-05
101000,-1.821774e-05
102000,-1.4064508e-05
103000,-1.57551e-05
104000,-3.3804752e-06
105000,-1.511986e-06
106000,4.170541e-06
107000,2.2103636e-06
108000,1.2581562e-05
109000,4.402249e-06
110000,1.4208658e-05
111000,4.2648876e-06
112000,1.1938048e-05
113000,-2.5417903e-05
114000,-6.5287722e-06
115000,1.0012821e-05
116000,-3.8494814e-05
117000,-2.0864585e-05
118000,9.570558e-06
119000,1.7536835e-05
120000,-1.1036143e-05
121000,5.7084767e-06
122000,7.973074e-06
123000,5.894948e-06
124000,2.3128716e-06
125000,-1.9299043e-05
126000,-3.1774074e-05
127000,6.2768163e-06
128000,-1.2691361e-05
129000,-1.4103951e-05
130000,-1.1437717e-05
131000,-1.1728662e-05
132000,-2.4858025e-05
133000,-1.3259734e-06
134000,4.660997e-05
135000,-1.0654153e-05
136000,-2.3409752e-05
137000,-9.246824e-05
138000,-1.7074573e-05
139000,-4.0552285e-07
140000,-1.3469753e-05
141000,2.3376293e-05
142000,2.1849712e-06
143000,-4.7974436e-06
144000,-1.6156928e-05
145000,8.879468e-05
146000,1.7820981e-05
147000,6.8131674e-05
148000,2.6781972e-06
149000,7.493772e-06
150000,3.689019e-05
151000,-1.7779339e-05
152000,0.00013402135
153000,3.777943e-05
154000,0.00012553934
155000,-9.747579e-05
156000,0.0001390491
157000,0.00013147062
158000,0.00021513393
159000,0.00034805917
160000,0.00015551712
161000,0.00016456757
162000,0.00010701824
163000,5.3331432e-06
164000,-4.7399073e-05
165000,3.999322e-06
166000,2.5979769e-05
167000,8.201545e-05
168000,0.00015017335
169000,-3.1710645e-06
170000,-5.7832825e-05
171000,-6.860114e-05
172000,-0.000427027
173000,-0.00031403507
174000,-6.448676e-05
175000,-7.3728115e-05
176000,4.5879864e-05
177000,0.00013459589
178000,-0.0009766223
179000,0.0002135807
180000,0.00028238643
181000,0.00015937288
182000,0.00010083843
183000,-0.00017294577
184000,1.3526374e-05
185000,0.0002360038
186000,-0.00022699537
187000,0.0003627661
188000,-0.000883025
189000,-0.00025125837
190000,-7.492578e-05
191000,6.336895e-05
192000,0.0011959133
193000,0.0046791467
194000,-0.00010603696
195000,0.000105758336
196000,4.8599508e-05
197000,9.097581e-05
198000,-0.00010343525
199000,0.00022437706
200000,7.7835655e-05
201000,8.367133e-05
202000,0.0015551199
203000,-0.00025452222
204000,-0.00011925833
205000,9.924105e-05
206000,-0.000404068
207000,-0.00091497897
208000,-0.00028580942
209000,0.0002784898
210000,-2.2852988e-05
211000,0.00026515
212000,0.00040117404
213000,0.00016671224
214000,-0.00029368364
215000,1.4100845e-05
216000,4.3269894e-05
217000,-0.00014985669
218000,-0.00019228256
219000,-0.0001329405
220000,0.00015553526
221000,0.00030420255
222000,0.00016264139
223000,-9.53446e-05
224000,3.3638653e-06
225000,0.00018477584
226000,-7.7883946e-05
227000,-0.0001983027
228000,2.8465465e-05
229000,-0.00015481032
230000,-9.4056544e-05
231000,5.4951397e-06
232000,-0.00040145233
233000,-0.000480668
234000,-0.00039450065
235000,-6.0480794e-05
236000,0.000102317324
237000,-0.0006045359
238000,-0.0001920766
239000,3.0284049e-05
240000,0.0026472467
241000,-4.3583474e-05
242000,1.7258862e-05
243000,-1.9602707e-05
244000,-5.3558433e-05
245000,-9.345197e-05
246000,-2.5186804e-05
247000,0.00010932322
248000,-1.25917895e-05
249000,7.1148046e-05
250000,-2.2641287e-05
251000,7.344702e-05
252000,0.00011967109
253000,3.9513772e-05
254000,4.198054e-05
255000,6.131703e-05
256000,-7.473746e-05
257000,6.803226e-05
258000,-0.00012226378
259000,2.7647578e-05
260000,0.00011215883
261000,8.915975e-05
262000,0.0002091278
263000,0.00012364758
264000,9.301046e-05
265000,0.00011163361
266000,1.08844915e-05
267000,5.8334408e-05
268000,-1.1698855e-05
269000,1.3988692e-05
270000,3.7664628e-05
271000,5.0840303e-05
272000,1.2566318e-05
273000,6.3666295e-05
274000,6.252161e-05
275000,8.475991e-05
276000,4.0907074e-05
277000,8.346786e-06
278000,6.82702e-05
279000,0.00010530353
280000,7.692628e-05
281000,6.4617896e-05
282000,6.236731e-05
283000,2.0829724e-05
284000,5.8094192e-06
285000,1.945316e-05
286000,0.00010790423
287000,2.4642532e-05
288000,8.4740066e-05
289000,3.7048783e-05
290000,2.4093231e-05
291000,5.7234698e-05
292000,4.5939792e-05
293000,3.928417e-05
294000,4.9748112e-05
295000,1.50032665e-05
296000,1.9996814e-05
297000,3.217012e-05
298000,3.507883e-05
299000,3.4640972e-05
300000,4.0208964e-05
301000,3.881573e-05
302000,4.4753942e-05
303000,2.5196932e-05
304000,3.9772007e-05
305000,1.3450992e-05
306000,2.6516856e-05
307000,6.291711e-05
308000,9.382139e-06
309000,3.4660552e-05
310000,2.3239906e-07
311000,-3.9880238e-06
312000,1.6965501e-05
313000,3.321887e-05
314000,7.915791e-06
315000,9.657885e-05
316000,-2.2529898e-06
317000,-9.440796e-06
318000,3.2003096e-05
319000,8.5390864e-05
320000,-5.335012e-06
321000,6.877814e-05
322000,0.000101199854
323000,8.393375e-06
324000,4.5774686e-05
325000,3.7308044e-05
326000,7.971082e-05
327000,1.4261101e-05
328000,-9.89694e-05
329000,-5.6061353e-06
330000,7.459262e-05
331000,1.43346215e-05
332000,2.389258e-05
333000,-4.0784944e-06
334000,0.00018073941
335000,-4.6847254e-05
336000,-3.6657286e-05
337000,-3.0401927e-05
338000,-5.953519e-07
339000,0.00017771406
340000,4.927265e-05
341000,2.4926107e-05
342000,-9.607788e-05
343000,0.000107076994
344000,8.367641e-05
345000,-2.1892012e-05
346000,2.891468e-05
347000,-0.000120506484
348000,2.622745e-05
349000,8.30588e-05
350000,0.00012693217
351000,6.967213e-05
352000,-2.8816281e-05
353000,4.5227378e-05
354000,4.567075e-05
355000,0.00025908
356000,0.00017771688
357000,-2.7077549e-05
358000,7.596816e-05
359000,8.355341e-05
360000,-3.219277e-05
361000,-1.436799e-05
362000,7.3608567e-06
363000,-2.1730766e-05
364000,0.00015173297
365000,0.00023685762
366000,0.00012907895
367000,0.00022279429
368000,0.00015499599
369000,0.00021012538
370000,0.00016059783
371000,7.416867e-06
372000,0.00012620323
373000,0.00010475063
374000,-0.000359601
375000,-6.046389e-05
376000,5.7773657e-05
377000,5.9078153e-05
378000,-1.6184611e-05
379000,5.0156752e-05
380000,6.630513e-05
381000,-1.1049692e-05
382000,1.1617267e-05
383000,3.284201e-05
384000,8.949191e-06
385000,-0.00031289674
386000,-0.00051310175
387000,0.0004662021
388000,0.00014824899
389000,-0.00051117165
390000,0.00015016862
391000,0.0002308575
392000,0.0001074865
393000,6.529154e-05
394000,-8.431839e-05
395000,-0.000145237
396000,-0.00019822031
397000,-0.00013455005
398000,0.00011023993
399000,0.0002261418
