"step","mean_nu"
0,-0.011404195
1000,-6.140446e-05
2000,-3.4135126e-05
3000,-0.000112217196
4000,0.0001239987
5000,0.0001456644
6000,-0.00037585475
7000,-2.2521142e-05
8000,-8.763312e-05
9000,-0.00012790778
10000,-4.4209977e-05
11000,0.00012996497
12000,6.1384235e-05
13000,6.358603e-05
14000,5.7971836e-05
15000,-0.0003358118
16000,8.7435525e-05
17000,0.00018206499
18000,0.000117472555
19000,-9.628247e-06
20000,-3.7420104e-05
21000,1.742204e-05
22000,2.649349e-05
23000,5.504598e-07
24000,-0.00012649069
25000,-1.45451995e-05
26000,7.479972e-05
27000,0.00012279714
28000,6.232475e-05
29000,-8.862825e-05
30000,7.094077e-05
31000,7.676164e-05
32000,4.0983192e-05
33000,3.2599706e-05
34000,1.4459327e-05
35000,3.4677003e-05
36000,6.977607e-05
37000,6.6151224e-05
38000,5.5433247e-05
39000,1.8876377e-05
40000,8.906661e-05
41000,8.9395624e-05
42000,0.00012108518
43000,8.426176e-05
44000,0.00015084799
45000,7.4482174e-05
46000,8.54006e-05
47000,-0.00023323853
48000,0.00013510729
49000,9.4154595e-05
50000,4.2496576e-05
51000,6.241455e-05
52000,6.0303268e-05
53000,2.4262301e-05
54000,2.1267757e-05
55000,0.00016644229
56000,2.279719e-05
57000,5.6367957e-05
58000,4.07778e-05
59000,2.8580978e-05
60000,9.974361e-06
61000,1.7151526e-05
62000,1.2721374e-05
63000,-7.795022e-07
64000,9.803666e-07
65000,4.710906e-06
66000,5.4877733e-06
67000,4.491586e-06
68000,5.5922106e-07
69000,1.49517e-05
70000,1.8719438e-05
71000,2.254267e-05
72000,9.410226e-06
73000,6.2830077e-06
74000,2.5498623e-05
75000,1.5754142e-05
76000,1.9589386e-05
77000,1.6803984e-05
78000,2.051377e-05
79000,-1.5901427e-06
80000,1.4176647e-05
81000,2.1771604e-05
82000,1.9204124e-05
83000,1.8541923e-05
84000,1.547095e-05
85000,2.7682392e-05
86000,1.3229486e-05
87000,3.453912e-05
88000,1.1016538e-05
89000,2.8386237e-05
90000,1.5524058e-05
91000,2.3154622e-05
92000,1.5646725e-05
93000,2.052794e-05
94000,2.2174652e-05
95000,2.0837822e-05
96000,2.6241512e-05
97000,2.674571e-05
98000,2.3788649e-05
99000,2.3058145e-05
100000,2.3802419e-05
101000,2.4392986e-05
102000,1.965489e-05
103000,2.2054577e-05
104000,2.38698e-05
105000,2.693469e-05
106000,2.0470297e-05
107000,1.9238316e-05
108000,2.9528515e-05
109000,3.134212e-05
110000,3.881207e-05
111000,1.6990516e-05
112000,3.168451e-05
113000,4.1719082e-05
114000,3.1296193e-05
115000,2.1896814e-05
116000,2.0895026e-05
117000,2.9735213e-05
118000,1.1557249e-05
119000,2.5398487e-05
120000,2.330939e-05
121000,2.2679256e-05
122000,3.03681e-05
123000,2.1950304e-05
124000,3.0050418e-05
125000,2.3315934e-05
126000,3.524639e-05
127000,2.351785e-05
128000,2.292852e-05
129000,2.4440797e-05
130000,3.8585877e-05
131000,2.7913911e-05
132000,3.523625e-05
133000,3.1610136e-05
134000,3.2917582e-05
135000,3.3435004e-05
136000,1.2372913e-05
137000,2.6225362e-05
138000,2.734636e-05
139000,2.890021e-05
140000,2.4051287e-05
141000,4.762796e-05
142000,4.068691e-05
143000,3.3125376e-05
144000,2.4107865e-05
145000,2.5828282e-05
146000,3.0432044e-05
147000,6.6335044e-05
148000,3.5545276e-05
149000,3.3106266e-05
150000,4.2673048e-05
151000,3.1347376e-05
152000,3.8855476e-05
153000,4.6608468e-05
154000,7.3324474e-05
155000,1.8325996e-05
156000,9.249816e-05
157000,6.920566e-05
158000,6.295401e-05
159000,0.001285941
160000,0.00010923756
161000,0.00010650722
162000,7.042864e-05
163000,3.952049e-05
164000,4.0849358e-05
165000,2.875607e-05
166000,5.285036e-05
167000,0.00010730358
168000,2.1929522e-05
169000,8.042627e-05
170000,5.4058495e-05
171000,2.4084644e-05
172000,6.230154e-06
173000,3.2885146e-05
174000,3.866518e-05
175000,4.6816563e-06
176000,2.6838456e-05
177000,2.137774e-05
178000,9.425008e-06
179000,1.839244e-05
180000,-9.554561e-06
181000,8.429209e-05
182000,4.7952017e-05
183000,0.00017565335
184000,0.00010457365
185000,6.184327e-05
186000,6.294024e-05
187000,0.00018105462
188000,0.000105631094
189000,0.00012573157
190000,3.235681e-05
191000,0.0005858584
192000,2.5039859e-05
193000,0.00013492384
194000,7.558798e-05
195000,1.3944941e-05
196000,2.4880486e-05
197000,3.8985163e-05
198000,5.9647155e-05
199000,0.000101386686
200000,8.35791e-05
201000,1.2111155e-05
202000,4.2980046e-05
203000,6.259931e-05
204000,0.000113197304
205000,-4.9962046e-06
206000,2.983622e-05
207000,1.0950686e-05
208000,6.2694075e-06
209000,4.407993e-05
210000,5.819414e-05
211000,0.00021086696
212000,9.8760385e-05
213000,9.61629e-05
214000,2.7932578e-05
215000,6.814571e-05
216000,0.00011130022
217000,4.7616304e-05
218000,3.556148e-05
219000,3.6673493e-05
220000,3.6936846e-05
221000,3.472224e-05
222000,2.3601438e-05
223000,2.259834e-05
224000,2.0250178e-05
225000,3.09621e-05
226000,4.3450622e-05
227000,3.9019636e-05
228000,2.3403449e-05
229000,1.0421918e-07
230000,6.572036e-05
231000,3.375357e-05
232000,3.242238e-05
233000,3.0370256e-05
234000,2.8053415e-05
235000,2.7174558e-05
236000,3.066401e-05
237000,3.9543294e-05
238000,1.950536e-05
239000,1.850693e-05
240000,2.2308797e-05
241000,3.843099e-05
242000,2.0272135e-05
243000,4.0775212e-05
244000,9.414501e-06
245000,4.1890507e-05
246000,3.1198495e-05
247000,2.004541e-05
248000,3.0947947e-05
249000,2.6306747e-05
250000,4.2127882e-05
251000,1.4027395e-05
252000,2.5863212e-05
253000,8.650485e-06
254000,2.7710552e-05
255000,1.4453648e-05
256000,1.6566755e-05
257000,3.5063316e-05
258000,2.1120622e-05
259000,5.8945872e-05
260000,2.9435685e-05
261000,3.9984523e-05
262000,3.9693154e-05
263000,1.2967684e-05
264000,3.2149943e-05
265000,3.0420862e-05
266000,1.5542093e-05
267000,2.0071864e-05
268000,3.071488e-05
269000,6.403271e-06
270000,1.1078889e-05
271000,6.322735e-06
272000,1.7246864e-05
273000,3.903864e-05
274000,3.4080127e-05
