"step","mean_nu"
0,0.0040261485
1000,-0.00028476055
2000,-0.00022901181
3000,-0.0006158096
4000,-0.0011429783
5000,-0.0003106842
6000,-0.00022646607
7000,4.894781e-05
8000,4.215089e-05
9000,0.00011459524
10000,0.0002732899
11000,0.00016737588
12000,-1.769592e-05
13000,7.912758e-05
14000,3.0271558e-05
15000,1.9679337e-05
16000,-4.0178045e-05
17000,-1.0157801e-05
18000,4.960266e-05
19000,2.2795308e-05
20000,4.577575e-05
21000,0.0001713632
22000,4.6853977e-05
23000,9.341995e-05
24000,0.0002561059
25000,0.00012665144
26000,0.00019264728
27000,0.00016423561
28000,9.264468e-05
29000,-4.525251e-05
30000,0.00025394902
31000,0.00022527012
32000,0.00018422196
33000,0.00012345836
34000,0.00013309714
35000,6.563828e-05
36000,7.8514415e-05
37000,4.0845604e-05
38000,2.8368378e-05
39000,-1.9353303e-05
40000,2.2006752e-06
41000,4.13525e-06
42000,4.554657e-05
43000,-0.0002964599
44000,5.598364e-05
45000,4.1402633e-05
46000,4.8375052e-05
47000,4.2632328e-05
48000,2.1689271e-05
49000,3.4950815e-05
50000,3.2763794e-05
51000,4.9302595e-05
52000,3.1203737e-05
53000,3.4195953e-05
54000,2.0028232e-05
55000,1.9542824e-05
56000,4.1193925e-05
57000,2.6038175e-05
58000,2.8950648e-05
59000,4.261617e-05
60000,2.5830892e-05
61000,4.0841263e-05
62000,2.9667619e-05
63000,3.0973395e-05
64000,1.9043227e-05
65000,3.340224e-05
66000,4.3391246e-05
67000,2.719689e-05
68000,3.925918e-05
69000,1.0584799e-05
70000,3.6549616e-05
71000,3.556146e-05
72000,2.528703e-05
73000,2.6879141e-05
74000,9.145576e-06
75000,2.429744e-05
76000,2.5191857e-05
77000,2.7440085e-05
78000,4.1335257e-05
79000,2.2505408e-05
80000,3.0641997e-05
81000,2.423202e-05
82000,3.8747883e-05
83000,4.267692e-05
84000,2.6503465e-05
85000,2.4878938e-05
86000,2.9088927e-05
87000,2.7530923e-05
88000,3.378693e-05
89000,2.9456733e-05
90000,3.568741e-05
91000,3.3588978e-05
92000,3.0547177e-05
93000,3.5031662e-05
94000,2.9616434e-05
95000,2.6074265e-05
96000,3.043525e-05
97000,2.7461572e-05
98000,3.2475324e-05
99000,2.9145865e-05
100000,3.0052855e-05
101000,2.9884446e-05
102000,3.259974e-05
103000,2.7216587e-05
104000,2.926257e-05
105000,2.8438206e-05
106000,3.3561875e-05
107000,2.9479539e-05
108000,3.1546642e-05
109000,2.7050439e-05
110000,1.9584857e-05
111000,3.121848e-05
112000,3.7489415e-05
113000,2.7133286e-05
114000,2.0025182e-05
115000,1.3489486e-05
116000,4.0287756e-05
117000,6.617091e-05
118000,2.608144e-05
119000,2.9881663e-05
120000,2.4816134e-05
121000,3.0678264e-05
122000,2.27048e-05
123000,2.5912956e-05
124000,1.7143346e-05
125000,3.678886e-05
126000,3.351361e-05
127000,3.220334e-05
128000,2.3996925e-05
129000,-7.175427e-05
130000,3.0743653e-05
131000,1.9508689e-05
132000,3.22024e-05
133000,2.2848995e-05
134000,2.1775017e-05
135000,1.9958945e-05
136000,3.0132314e-05
137000,2.6288737e-05
138000,2.2176519e-05
139000,3.076648e-05
140000,2.0442183e-05
141000,2.2687787e-05
142000,3.8014336e-05
143000,3.2193035e-05
144000,3.0775664e-05
145000,8.998896e-06
146000,2.7830765e-05
147000,2.1070835e-05
148000,5.421273e-05
149000,5.8315352e-05
150000,3.5906112e-05
151000,2.0585781e-05
152000,1.5106178e-05
153000,4.6640485e-05
154000,4.6505273e-05
155000,3.4413537e-05
156000,3.5578447e-05
157000,2.0513651e-05
158000,3.225327e-05
159000,1.7184757e-05
160000,2.721198e-05
161000,0.00023026392
162000,8.105917e-05
163000,5.6692927e-05
164000,5.2908803e-05
165000,2.080902e-05
166000,4.7603826e-05
167000,5.7390575e-05
168000,3.421493e-05
169000,4.3018135e-05
170000,3.5053585e-05
171000,2.1884995e-05
172000,2.8841441e-05
173000,5.721202e-05
174000,3.8539856e-05
175000,1.3011159e-05
176000,2.485156e-06
177000,1.507075e-05
178000,2.3570967e-05
179000,1.841278e-05
180000,4.6225246e-05
181000,5.0242965e-05
182000,1.8647235e-05
183000,3.50775e-05
184000,1.6553378e-05
185000,4.11815e-05
186000,2.6250404e-05
187000,2.4611008e-05
188000,1.2450004e-05
189000,2.9325118e-05
190000,4.1446896e-05
191000,1.2897823e-05
192000,2.5953728e-05
193000,1.530038e-05
194000,8.725896e-06
195000,2.0538757e-05
196000,3.736123e-05
197000,3.3324723e-05
198000,2.9688734e-05
199000,1.7538767e-05
200000,3.3131677e-05
201000,6.7838504e-05
202000,3.1856645e-05
203000,5.899225e-05
204000,1.2710956e-05
205000,2.7343902e-05
206000,5.751211e-05
207000,3.2031097e-05
208000,4.5166777e-05
209000,3.6503192e-05
210000,3.7218717e-05
211000,2.8622368e-05
212000,4.476426e-05
213000,3.4161952e-05
214000,4.2563155e-05
215000,3.992325e-05
216000,5.561066e-05
217000,3.5111025e-05
218000,7.3051844e-05
219000,5.3731026e-05
220000,5.8148074e-05
221000,4.470653e-05
222000,5.5432738e-05
223000,4.474024e-05
224000,2.401246e-05
225000,4.9551414e-05
226000,7.755321e-06
227000,2.8775921e-05
228000,2.4035076e-05
229000,7.516392e-05
230000,7.444112e-05
231000,3.0099509e-05
232000,4.3468277e-05
233000,5.5316865e-05
234000,4.217305e-05
235000,3.5065474e-05
236000,2.3254954e-05
237000,1.0011159e-05
238000,5.022023e-05
239000,3.5295347e-05
240000,4.939973e-05
241000,4.9278497e-05
242000,3.5358447e-05
243000,3.9724448e-05
244000,3.5528363e-05
245000,4.7291207e-05
246000,3.6952144e-05
247000,1.2363966e-05
248000,3.3242664e-05
249000,3.8870803e-05
250000,4.576392e-05
251000,5.1378076e-05
252000,7.8061814e-05
253000,4.386991e-05
254000,3.965812e-05
255000,4.6103185e-05
256000,4.68123e-05
257000,5.1049356e-05
258000,5.3795764e-05
259000,3.022265e-05
260000,4.2477568e-05
261000,4.9864026e-05
262000,3.9205657e-05
263000,2.115218e-05
264000,4.7115125e-05
265000,3.672576e-05
266000,2.3176364e-05
267000,3.133404e-05
268000,3.283725e-05
269000,2.8141423e-05
270000,2.2211949e-05
271000,2.7595977e-05
272000,1.5698928e-05
273000,2.9069575e-05
274000,2.2087643e-05
275000,7.923463e-06
276000,2.0103203e-05
277000,2.1083553e-05
278000,1.8968778e-06
279000,2.0763637e-05
280000,3.4026016e-05
281000,3.2123306e-05
282000,1.9475705e-05
283000,2.6439131e-05
284000,2.9483534e-05
285000,3.0243966e-05
286000,1.8266155e-05
287000,1.966545e-05
288000,2.8217593e-05
289000,2.605563e-05
290000,2.2054302e-05
291000,2.7826176e-05
292000,2.1496764e-05
293000,2.4475226e-05
294000,2.2234217e-05
295000,3.124536e-05
296000,2.3974131e-05
297000,2.6175268e-05
298000,2.4766001e-05
299000,2.5711894e-05
300000,2.5350371e-05
301000,2.4941057e-05
302000,2.234961e-05
303000,2.6558017e-05
304000,2.8998558e-05
305000,2.8395418e-05
