"step","mean_nu"
0,-0.01135442
1000,6.347882e-05
2000,0.00013360669
3000,0.0004247433
4000,-0.00032130876
5000,-3.2712374e-05
6000,0.00062361284
7000,0.00018128807
8000,8.7166954e-05
9000,5.3993015e-05
10000,0.00013280098
11000,2.7867609e-05
12000,-0.0021906055
13000,0.00036791308
14000,7.921646e-05
15000,-0.00013909859
16000,-0.00016236183
17000,-0.00012155708
18000,-8.8244764e-05
19000,-0.0008055616
20000,0.00020337652
21000,0.00024792636
22000,7.532948e-05
23000,8.174176e-06
24000,0.0001209735
25000,0.00016375259
26000,0.0001737741
27000,9.378661e-05
28000,0.000334681
29000,0.00027626008
30000,8.5722444e-05
31000,9.9036675e-05
32000,7.1909664e-05
33000,4.642062e-05
34000,3.2358683e-05
35000,4.3126514e-05
36000,6.088212e-05
37000,7.745732e-05
38000,0.00036281004
39000,3.597062e-05
40000,3.5521804e-05
41000,3.619361e-05
42000,-0.0004120557
43000,3.760841e-05
44000,3.4536894e-05
45000,3.581655e-05
46000,6.078605e-05
47000,6.32554e-05
48000,4.329054e-05
49000,-8.670233e-06
50000,3.0456544e-05
51000,1.639041e-05
52000,2.4760082e-05
53000,2.503543e-05
54000,2.44772e-05
55000,7.9451565e-05
56000,2.6778958e-05
57000,2.800173e-05
58000,4.0698706e-05
59000,2.2452412e-05
60000,1.9542686e-05
61000,2.6716361e-05
62000,1.9769584e-05
63000,2.2735128e-05
64000,2.4269468e-05
65000,2.5997972e-05
66000,-2.0313e-06
67000,2.7673806e-05
68000,2.480236e-05
69000,2.722939e-05
70000,2.4370896e-05
71000,2.8369113e-05
72000,2.9053408e-05
73000,1.30921235e-05
74000,2.0793763e-05
75000,2.223539e-05
76000,2.0002271e-05
77000,2.3507804e-05
78000,1.2356971e-05
79000,1.7983106e-05
80000,1.39650365e-05
81000,1.356017e-05
82000,1.8537663e-05
83000,1.5092375e-05
84000,1.245569e-05
85000,9.521503e-06
86000,1.7639684e-05
87000,4.731018e-06
88000,9.875916e-06
89000,2.1934598e-05
90000,9.917439e-06
91000,8.196759e-06
92000,-1.6390786e-06
93000,8.355824e-06
94000,1.1099159e-05
95000,1.1479368e-05
96000,1.358358e-05
97000,1.0445688e-05
98000,9.619721e-06
99000,9.718673e-06
100000,9.459707e-06
101000,1.0149609e-05
102000,8.848714e-06
103000,8.319542e-06
104000,1.18992975e-05
105000,7.790271e-06
106000,2.37877e-05
107000,6.883946e-06
108000,1.41266955e-05
109000,1.0706189e-05
110000,2.0050651e-05
111000,1.2197807e-05
112000,1.7373057e-05
113000,7.1902823e-06
114000,1.7372358e-05
115000,1.639264e-05
116000,1.3005921e-05
117000,1.3236603e-05
118000,2.1282376e-05
119000,2.173821e-05
120000,1.993733e-05
121000,1.8760991e-05
122000,2.578674e-05
123000,2.0430054e-05
124000,2.321356e-05
125000,1.4915713e-05
126000,2.1938647e-05
127000,2.0836766e-05
128000,2.8777204e-05
129000,1.6509568e-05
130000,2.2128628e-05
131000,1.9296107e-05
132000,2.5212794e-05
133000,3.7719135e-05
134000,2.5870639e-05
135000,2.2185746e-05
136000,2.0600459e-05
137000,2.7610695e-05
138000,2.2069467e-05
139000,1.6943904e-05
140000,2.003653e-05
141000,1.8552422e-05
142000,3.1069587e-05
143000,2.245756e-05
144000,1.9912108e-05
145000,1.699164e-05
146000,1.0295751e-05
147000,1.43859625e-05
148000,1.3875186e-05
149000,2.4930818e-05
150000,3.4246772e-05
151000,2.7520391e-05
152000,2.0838108e-05
153000,4.4020297e-05
154000,2.1163696e-05
155000,2.7463315e-05
156000,2.5234587e-05
157000,2.1527776e-05
158000,5.138186e-05
159000,2.6713404e-05
160000,2.4009069e-05
161000,2.3031978e-05
162000,2.7736238e-05
163000,3.4057794e-05
164000,2.0618665e-05
165000,2.0037167e-05
166000,1.9453508e-05
167000,4.702654e-05
168000,3.984757e-05
169000,2.385649e-05
170000,2.5207326e-05
171000,5.3362546e-05
172000,3.8391965e-05
173000,6.50666e-05
174000,0.000119905
175000,0.0001587341
176000,7.050533e-05
177000,6.712548e-05
178000,3.1660005e-05
179000,3.3471366e-05
180000,8.904616e-05
181000,7.6034135e-05
182000,6.604533e-05
183000,1.905252e-05
184000,4.4978813e-05
185000,4.7641817e-05
186000,2.8567327e-05
187000,3.6345988e-05
188000,4.6183017e-05
189000,3.046719e-05
190000,3.073229e-05
191000,2.5497626e-05
192000,3.0030413e-05
193000,3.37909e-05
194000,2.9561465e-05
195000,4.427296e-05
196000,2.9298839e-05
197000,1.9609333e-05
198000,2.2385542e-05
199000,5.8735535e-05
200000,0.0001364787
201000,0.00024674518
202000,5.3893098e-05
